hw_config,model,mode,description,clock_ghz,array_rows,array_cols,bidirectional,systolic_units,vector_cores,access_cores,vec_simd,exp_lat,access_bw,dma_channels,hbm_bw_tb_s,hbm_lat_cycles,ibuf_kb,obuf_kb,stage_double_buffer,model_sram,tile_rows,tile_cols,num_layers,hidden_dim,head_dim,intermediate_dim,num_q_heads,num_kv_heads,gqa_group,prompt_len,gen_steps,max_seq_len,kv_cache,cycles,MACs,hbm_bytes,systolic_util_pct,systolic_0_util_pct,systolic_1_util_pct,dma_util_pct,vec_util_pct,access_util_pct,roofline_eff_pct,roofline_bound,compute_bound_cyc,memory_bound_cyc,ttft_ns,decode_tps,tflops_achieved,hbm_bw_achieved_tb_s,tflops_peak,hbm_util_pct,arith_intensity,ttft_per_token_ns,bytes_per_token,systolic_imbalance,mem_compute_ratio,ffn_mac_pct,attn_mac_pct,ffn_attn_crossover_tok,wall_s,peak_rss_mb,status
datacenter,1b,prefill_decode,hw=datacenter model=1b mode=prefill_decode,2.0,256,256,False,8,6,2,128,4,128,4,3.35,300,8192,8192,True,True,256,256,16,2048,64,8192,32,8,4,2048,1,8192,True,196084131,2149116346368,34354708480,46.0099,86.9787,46.2246,16.4708,14.7295,2.48838,2.61498,memory-bound,4099120.0,5127570.0,98042100.0,20899.2,43.8407,0.3504,2097.152,10.46,62.56,47872.12,16766573,40.75,1.251,72.7,27.3,12288,10.8,,OK
datacenter,1b,decode,hw=datacenter model=1b mode=decode,2.0,256,256,False,8,6,2,128,4,128,4,3.35,300,8192,8192,True,True,256,256,16,2048,64,8192,32,8,4,2048,32,8192,True,19464959,1370030080,2538811392,36.1757,91.232,30.3267,6.74788,0.141511,0.357494,1.94672,memory-bound,2614.0,378928.0,9732480.0,3287.96,0.2815,0.2609,2097.152,7.79,0.54,,79337856,60.91,144.961,72.7,27.3,12288,0.8,,OK
datacenter,8b,prefill_decode,hw=datacenter model=8b mode=prefill_decode,2.0,256,256,False,8,6,2,128,4,128,4,3.35,300,8192,8192,True,True,256,256,32,4096,128,14336,32,8,4,2048,1,8192,True,1281473250,14920693579776,240258949120,47.053,88.087,46.4577,17.0635,10.0981,1.52115,2.79831,memory-bound,28459000.0,35859500.0,640737000.0,3197.88,46.5736,0.375,2097.152,11.19,62.1,312859.86,117256686,41.63,1.26,75.0,25.0,21504,66.3,,OK
datacenter,8b,decode,hw=datacenter model=8b mode=decode,2.0,256,256,False,8,6,2,128,4,128,4,3.35,300,8192,8192,True,True,256,256,32,4096,128,14336,32,8,4,2048,32,8192,True,88573757,8041791488,15278571520,43.9613,92.1226,40.5413,8.99397,0.0991757,0.308888,2.57456,memory-bound,15339.0,2280380.0,44286900.0,722.562,0.3632,0.345,2097.152,10.3,0.53,,477455360,51.58,148.665,75.0,25.0,21504,4.7,,OK
datacenter,70b,prefill_decode,hw=datacenter model=70b mode=prefill_decode,2.0,256,256,False,8,6,2,128,4,128,4,3.35,300,8192,8192,True,True,256,256,40,8192,128,28672,64,8,8,512,1,8192,True,1851178949,17688978653184,346732761088,46.5877,88.9936,42.9607,15.8818,6.7645,0.63153,2.79558,memory-bound,33739000.0,51751200.0,925589000.0,554.241,38.2221,0.3746,2097.152,11.18,51.02,1807791.02,675892322,46.03,1.534,81.6,18.4,43008,88.7,,OK
datacenter,70b,decode,hw=datacenter model=70b mode=decode,2.0,256,256,False,8,6,2,128,4,128,4,3.35,300,8192,8192,True,True,256,256,40,8192,128,28672,64,8,8,512,32,8192,True,377016817,35612393472,70637965312,46.7139,92.53,42.201,9.91977,0.0707076,0.0286931,2.79642,memory-bound,67926.0,10543000.0,188508000.0,169.754,0.3778,0.3747,2097.152,11.19,0.5,,2207436416,50.33,155.213,81.6,18.4,43008,17.4,,OK
